Code poste;Nom poste;FONCTION;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste (DD)
S.GUY;SAUVETERRE-DE-GUYENNE;Poste de transformation;EN EXPLOITATION;225kV;-0.08692681055536502;44.71386904155741;44.71386904155741, -0.08692681055536502
F.FRE;FAUX-FRESNAY;Poste de transformation;EN EXPLOITATION;400kV;3.9762098808798574;48.64982394686412;48.64982394686412, 3.9762098808798574
ZGARA;PIQUAGE A GARANGER;Point de piquage;EN EXPLOITATION;90kV;-1.8312567517024787;46.79451059633593;46.79451059633593, -1.8312567517024787
1ALBI;ALBIES (TALC DE LUZENAC) /LUZENAC 20KV;Poste de transformation;EN EXPLOITATION;<45kV;1.6980094921441378;42.778236815730004;42.778236815730004, 1.6980094921441378
1AVAL;AVALATS(LES);Poste de transformation;EN EXPLOITATION;<45kV;2.239481110152893;43.94243916390505;43.94243916390505, 2.239481110152893
1GUIL;GUILLOTIERE;Poste de transformation;EN EXPLOITATION;<45kV;4.85018063057845;45.71799995746138;45.71799995746138, 4.85018063057845
1LART;LARTIGE /1ZVLE 30KV;Poste de transformation;EN EXPLOITATION;<45kV;1.5316152230911364;45.80749288269255;45.80749288269255, 1.5316152230911364
1P.RE;PUIG-REDON /TECH 26KV;Poste de transformation;EN EXPLOITATION;<45kV;2.5708434817430237;42.4168468040513;42.4168468040513, 2.5708434817430237
1POUC;POUCH (HTA);Poste de transformation;EN EXPLOITATION;<45kV;1.4711876856344934;45.297262388327105;45.297262388327105, 1.4711876856344934
A.DUC;ARNAY LE DUC;Poste de transformation;EN EXPLOITATION;63kV;4.482577720508683;47.12020628548404;47.12020628548404, 4.482577720508683
A.PLE;ARGENTRE-DU-PLESSIS;Poste de transformation;EN EXPLOITATION;90kV;-1.1544524521765525;48.03991958128694;48.03991958128694, -1.1544524521765525
A.TO5;ARSENAL DE TOULON;Poste de transformation;EN EXPLOITATION;63kV;5.916229959024192;43.125189369304486;43.125189369304486, 5.916229959024192
ABERS;ABERS (LES);Poste de transformation;EN EXPLOITATION;63kV;-4.6864956988516795;48.51562169729861;48.51562169729861, -4.6864956988516795
ABLAI;ABLAINCOURT;Poste de transformation;EN EXPLOITATION;225kV;2.826927611360599;49.834496931307605;49.834496931307605, 2.826927611360599
ACHIE;ACHIET;Poste de transformation;EN EXPLOITATION;90kV;2.781272393795497;50.13912524995166;50.13912524995166, 2.781272393795497
AIGU5;AIGUEBELLE (CLIENT);Poste de transformation;EN EXPLOITATION;45kV;6.313127843528501;45.53442305659837;45.53442305659837, 6.313127843528501
AIGUR;AIGURANDE;Poste de transformation;EN EXPLOITATION;90kV;1.8270542505202954;46.44983911229914;46.44983911229914, 1.8270542505202954
AILLE;AILLEVILLE;Poste de transformation;EN EXPLOITATION;63kV;4.6892228577778745;48.24881006999634;48.24881006999634, 4.6892228577778745
AIME;AIME;Poste de transformation;EN EXPLOITATION;63kV;6.6595314434039485;45.552730413379614;45.552730413379614, 6.6595314434039485
AIRVA;AIRVAULT;Poste de transformation;EN EXPLOITATION;225kV;-0.12517870341155993;46.82371782420656;46.82371782420656, -0.12517870341155993
ALIZA;ALIZAY;Poste de transformation;EN EXPLOITATION;90kV;1.1897809090033222;49.313249432500214;49.313249432500214, 1.1897809090033222
ALLE5;ALLEMENT (PORTIQUE);Poste de transformation;EN EXPLOITATION;63kV;5.420932191368723;46.11342649761813;46.11342649761813, 5.420932191368723
ALLEM;ALLEMENT;Poste de transformation;EN EXPLOITATION;63kV;5.42266891516067;46.111958793350134;46.111958793350134, 5.42266891516067
ALLOU;ALLOUIS;Poste de transformation;EN EXPLOITATION;90kV;2.200740546793624;47.16661630934068;47.16661630934068, 2.200740546793624
ALMA;ALMA;Poste de transformation;EN EXPLOITATION;225kV;2.304420102812675;48.86429640056264;48.86429640056264, 2.304420102812675
ALSTH;ALSTHOM;Poste de transformation;EN EXPLOITATION;63kV;6.839950023164962;47.6509077620052;47.6509077620052, 6.839950023164962
AMBON;AMBON;Poste de transformation;EN EXPLOITATION;63kV;-2.5218709358414144;47.54541656852402;47.54541656852402, -2.5218709358414144
AMELO;AMELOT (AEROPORT PARIS NORD);Poste de transformation;EN EXPLOITATION;225kV;2.5391141219939435;49.006576974435134;49.006576974435134, 2.5391141219939435
AMIEN;AMIENS;Poste de transformation;EN EXPLOITATION;225kV;2.293874431671916;49.91199785130619;49.91199785130619, 2.293874431671916
AMNEV;AMNEVILLE;Poste de transformation;EN EXPLOITATION;225kV;6.144419715465467;49.2654844540533;49.2654844540533, 6.144419715465467
ANNA;ANNA;Poste de transformation;EN EXPLOITATION;63kV;7.325794395966313;47.79889470197101;47.79889470197101, 7.325794395966313
ANNAY;ANNAY;Poste de transformation;EN EXPLOITATION;63kV;3.963273609482923;47.733062435900656;47.733062435900656, 3.963273609482923
ANSER;ANSEREUILLES (LES);Poste de transformation;EN EXPLOITATION;225kV;2.9382062516346825;50.553817205607764;50.553817205607764, 2.9382062516346825
ARBRE;ARBRESLE (L );Poste de transformation;EN EXPLOITATION;63kV;4.606294151226791;45.82487870201412;45.82487870201412, 4.606294151226791
ARCAC;ARCACHON (ENEDIS);Poste de transformation;EN EXPLOITATION;63kV;-1.1634045312148518;44.65681621095371;44.65681621095371, -1.1634045312148518
ARGE8;ARGENTAN;Poste de transformation;EN EXPLOITATION;90kV;-0.00950594307202876;48.743124809910285;48.743124809910285, -0.00950594307202876
ARGIE;ARGIESANS;Poste de transformation;EN EXPLOITATION;225kV;6.813987547016708;47.60168722516287;47.60168722516287, 6.813987547016708
ARLOD;ARLOD;Poste de transformation;EN EXPLOITATION;225kV;5.817702449934606;46.097238677395524;46.097238677395524, 5.817702449934606
ARQUE;ARQUES;Poste de transformation;EN EXPLOITATION;90kV;2.295974223826493;50.73014285791108;50.73014285791108, 2.295974223826493
ARTEN;ARTENAY;Poste de transformation;EN EXPLOITATION;90kV;1.887475620500475;48.093974669878634;48.093974669878634, 1.887475620500475
ASASP;ASASP;Poste de transformation;EN EXPLOITATION;63kV;-0.6247564343698475;43.10882813672989;43.10882813672989, -0.6247564343698475
ASPR5;ASPRES;Poste de transformation;EN EXPLOITATION;63kV;2.8598656404110496;42.550502202665825;42.550502202665825, 2.8598656404110496
AUBAG;AUBAGNE;Poste de transformation;EN EXPLOITATION;63kV;5.591360247201413;43.28558577047574;43.28558577047574, 5.591360247201413
AUBER;AUBERVILLE;Poste de transformation;EN EXPLOITATION;90kV;0.5842289516084913;49.53024509601436;49.53024509601436, 0.5842289516084913
AULN5;AULNAY;Poste de transformation;EN EXPLOITATION;90kV;-0.34676569275838426;46.03316479491367;46.03316479491367, -0.34676569275838426
AUNEA;AUNEAU;Poste de transformation;EN EXPLOITATION;90kV;1.7765616406363633;48.44303513292843;48.44303513292843, 1.7765616406363633
AURIL;AURILLAC;Poste de transformation;EN EXPLOITATION;90kV;2.440281763104477;44.91709346839789;44.91709346839789, 2.440281763104477
AURIO;AURIOLLES;Poste de transformation;EN EXPLOITATION;63kV;0.035093559675451184;44.74504856741933;44.74504856741933, 0.035093559675451184
AUTER;AUTERRIVE;Poste de transformation;EN EXPLOITATION;63kV;-1.018106322543683;43.46744179719835;43.46744179719835, -1.018106322543683
AUVER;AUVERS-LE-HAMON;Poste de transformation;EN EXPLOITATION;90kV;-0.3670440464502325;47.88068160076063;47.88068160076063, -0.3670440464502325
AUZER;AUZERETTE;Poste de transformation;EN EXPLOITATION;90kV;2.646419626959403;45.364707060196075;45.364707060196075, 2.646419626959403
AVEIL;AVEILLANS (LES);Poste de transformation;EN EXPLOITATION;63kV;2.0374181003602723;42.54759074474781;42.54759074474781, 2.0374181003602723
AVELI;AVELIN;Poste de transformation;EN EXPLOITATION;400kV;3.082216682320097;50.52532708093537;50.52532708093537, 3.082216682320097
AVENI;AVENIR;Poste de transformation;EN EXPLOITATION;225kV;2.4169927030100147;48.916283954364744;48.916283954364744, 2.4169927030100147
AVIG5;AVIGNONET;Poste de transformation;EN EXPLOITATION;63kV;1.7939726756354322;43.362573846049095;43.362573846049095, 1.7939726756354322
AVRIM;AVRIMA;Poste de transformation;EN EXPLOITATION;63kV;6.065519944902878;48.87003004404964;48.87003004404964, 6.065519944902878
AYDES;AYDES (LES);Poste de transformation;EN EXPLOITATION;90kV;1.8903527907896063;47.93663558091289;47.93663558091289, 1.8903527907896063
AYTRE;AYTRE;Poste de transformation;EN EXPLOITATION;90kV;-1.091212279686499;46.13012530380248;46.13012530380248, -1.091212279686499
B.CAR;BROC-CARROS (LE);Poste de transformation;EN EXPLOITATION;400kV;7.191487807291039;43.80311083239687;43.80311083239687, 7.191487807291039
B.LAM;BORDERES-ET-LAMENSANS;Poste de transformation;EN EXPLOITATION;63kV;-0.39350075644624627;43.77723633467425;43.77723633467425, -0.39350075644624627
B.MON;BEAUMONT-MONTEUX;Poste de transformation;EN EXPLOITATION;400kV;4.9265616112565755;45.01824793744958;45.01824793744958, 4.9265616112565755
B.RE6;BOIS DE RENAN;Poste de transformation;EN EXPLOITATION;63kV;6.472733132478332;47.68727813772952;47.68727813772952, 6.472733132478332
BAGAT;BAGATELLE;Poste de transformation;EN EXPLOITATION;63kV;1.964524401386071;43.30911354981322;43.30911354981322, 1.964524401386071
BALMA;BALMA (POSTE);Poste de transformation;EN EXPLOITATION;225kV;1.4940313790435051;43.61613789269469;43.61613789269469, 1.4940313790435051
BARJA;BARJAC;Poste de transformation;EN EXPLOITATION;225kV;4.343085816505613;44.314778272176504;44.314778272176504, 4.343085816505613
BARLI;BARLIN;Poste de transformation;EN EXPLOITATION;90kV;2.6112021856187995;50.443192809148044;50.443192809148044, 2.6112021856187995
BARNA;BARNABOS;Poste de transformation;EN EXPLOITATION;400kV;1.0125244911901432;49.657738003992094;49.657738003992094, 1.0125244911901432
BASS6;BASSIGNY;Poste de transformation;EN EXPLOITATION;63kV;5.3486523936692745;48.03989071374595;48.03989071374595, 5.3486523936692745
BAST5;BASTIDONNE (LA);Poste de transformation;EN EXPLOITATION;63kV;5.529507575772914;43.28507049494726;43.28507049494726, 5.529507575772914
BASTI;BASTILLAC;Poste de transformation;EN EXPLOITATION;225kV;0.03934371847979428;43.22511430430045;43.22511430430045, 0.03934371847979428
BAUGE;BAUGE;Poste de transformation;EN EXPLOITATION;90kV;-0.09997341292746477;47.53153297773353;47.53153297773353, -0.09997341292746477
BAZAS;BAZAS;Poste de transformation;EN EXPLOITATION;63kV;-0.21848457716492692;44.41386188526877;44.41386188526877, -0.21848457716492692
BEDAR;BEDARIEUX;Poste de transformation;EN EXPLOITATION;63kV;3.169296819842962;43.61321602654161;43.61321602654161, 3.169296819842962
BEINH;BEINHEIM;Poste de transformation;EN EXPLOITATION;63kV;8.099111116058072;48.86174315626743;48.86174315626743, 8.099111116058072
BELIC;BELICHE (LA);Poste de transformation;EN EXPLOITATION;63kV;-0.8844904344905639;44.01120854863261;44.01120854863261, -0.8844904344905639
BELIE;BELIET;Poste de transformation;EN EXPLOITATION;63kV;-0.7815826474713574;44.51974901661598;44.51974901661598, -0.7815826474713574
BELLA;BELLAC;Poste de transformation;EN EXPLOITATION;90kV;1.04400386555171;46.10531562280134;46.10531562280134, 1.04400386555171
BELV5;BELVES;Poste de transformation;EN EXPLOITATION;63kV;1.0276929502398644;44.76448110008118;44.76448110008118, 1.0276929502398644
BENE5;BENETIERE;Poste de transformation;EN EXPLOITATION;90kV;-0.8824583388953801;47.03840987130087;47.03840987130087, -0.8824583388953801
BERG5;BERGERAC (BERGERAC);Poste de transformation;EN EXPLOITATION;63kV;0.4854270206420976;44.835898435718576;44.835898435718576, 0.4854270206420976
BERG6;BERGERAC (NITRO-CELLULOSE);Poste de transformation;EN EXPLOITATION;63kV;0.5222915806431204;44.8432428185639;44.8432428185639, 0.5222915806431204
BERNO;BERNO;Poste de transformation;EN EXPLOITATION;63kV;-2.7781277175604084;48.508227225998105;48.508227225998105, -2.7781277175604084
BERT5;BERTHOLLET;Poste de transformation;EN EXPLOITATION;225kV;2.3277643159260277;48.80656118332157;48.80656118332157, 2.3277643159260277
BERTR;BERTRIC;Poste de transformation;EN EXPLOITATION;63kV;0.3621369482760033;45.30339093299744;45.30339093299744, 0.3621369482760033
BESS5;BESSEY;Poste de transformation;EN EXPLOITATION;63kV;4.702673498665554;45.38390794938567;45.38390794938567, 4.702673498665554
BEUVR;BEUVRY (LABOURSE);Poste de transformation;EN EXPLOITATION;225kV;2.6813392169350307;50.505688151121205;50.505688151121205, 2.6813392169350307
BIACA;BIACAVE;Poste de transformation;EN EXPLOITATION;63kV;0.05887568067968924;43.267522585007384;43.267522585007384, 0.05887568067968924
BIGNY;BIGNY;Poste de transformation;EN EXPLOITATION;90kV;2.3705268854466763;46.80398681226237;46.80398681226237, 2.3705268854466763
BILEM;BILEMONT;Poste de transformation;EN EXPLOITATION;90kV;3.129344189661102;50.76643067334718;50.76643067334718, 3.129344189661102
BILLY;BILLY;Poste de transformation;EN EXPLOITATION;225kV;3.42156256171468;46.223345242391346;46.223345242391346, 3.42156256171468
BIOGE;BIOGE;Poste de transformation;EN EXPLOITATION;63kV;6.596284963718092;46.32484125461227;46.32484125461227, 6.596284963718092
BISCA;BISCARROSSE;Poste de transformation;EN EXPLOITATION;63kV;-1.2353761060568778;44.42977258674404;44.42977258674404, -1.2353761060568778
BISSO;BISSORTE;Poste de transformation;EN EXPLOITATION;63kV;6.584768891897203;45.20248548023562;45.20248548023562, 6.584768891897203
BISSY;BISSY;Poste de transformation;EN EXPLOITATION;225kV;5.900621563781;45.590160030093564;45.590160030093564, 5.900621563781
BIZAN;BIZANOS;Poste de transformation;EN EXPLOITATION;63kV;-0.3609259804206275;43.29232109516704;43.29232109516704, -0.3609259804206275
BIZET;BIZETTE;Poste de transformation;EN EXPLOITATION;90kV;1.881192256028993;47.88369886878687;47.88369886878687, 1.881192256028993
BLAIN;BLAIN;Poste de transformation;EN EXPLOITATION;63kV;-1.7454189769389827;47.472580583519694;47.472580583519694, -1.7454189769389827
BLAN5;BLANQUEFORT (FORD);Poste de transformation;EN EXPLOITATION;63kV;-0.6119136033058533;44.917935644541856;44.917935644541856, -0.6119136033058533
BLANC;BLANCHARDIERE;Poste de transformation;EN EXPLOITATION;90kV;-0.8414491699504202;47.06770355813895;47.06770355813895, -0.8414491699504202
BLANQ;BLANQUEFORT (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;-0.6168854607002108;44.902279337521826;44.902279337521826, -0.6168854607002108
BLAYA;BLAYAIS (LE);Poste de transformation;EN EXPLOITATION;400kV;-0.6928475223407694;45.25863264209966;45.25863264209966, -0.6928475223407694
BLENO;BLENOD;Poste de transformation;EN EXPLOITATION;400kV;6.081450040013256;48.86761523013207;48.86761523013207, 6.081450040013256
BLOCA;BLOCAUX;Poste de transformation;EN EXPLOITATION;225kV;1.782743089081921;49.77202972002558;49.77202972002558, 1.782743089081921
BLOTT;BLOTTEREAU;Poste de transformation;EN EXPLOITATION;63kV;-1.4899380228300527;47.23609423919338;47.23609423919338, -1.4899380228300527
BOIS5;BOISSEUIL;Poste de transformation;EN EXPLOITATION;90kV;-0.6645545539313074;46.102130597546804;46.102130597546804, -0.6645545539313074
BOIST;BOISTHOREL;Poste de transformation;EN EXPLOITATION;90kV;0.562892221463279;48.747012432658124;48.747012432658124, 0.562892221463279
BOLL5;BOLLENE (POSTE RESEAU);Poste de transformation;EN EXPLOITATION;225kV;4.734658050371161;44.30333032700618;44.30333032700618, 4.734658050371161
BONDY;BONDY;Poste de transformation;EN EXPLOITATION;63kV;2.48932505950531;48.908595979328716;48.908595979328716, 2.48932505950531
BONN6;BONNEAU;Poste de transformation;EN EXPLOITATION;225kV;0.39347962785568147;46.59834443302421;46.59834443302421, 0.39347962785568147
BONN8;BONNEVILLE;Poste de transformation;EN EXPLOITATION;63kV;6.3921170543966115;46.06805398542377;46.06805398542377, 6.3921170543966115
BONNI;BONNIERES;Poste de transformation;EN EXPLOITATION;225kV;1.5594511514059983;49.022717144539605;49.022717144539605, 1.5594511514059983
BOR.C;BORDEAUX-CENTRE;Poste de transformation;EN EXPLOITATION;225kV;-0.5771269914263671;44.84006987097422;44.84006987097422, -0.5771269914263671
BORD8;BORDERES (PORTIQUE);Poste de transformation;EN EXPLOITATION;63kV;0.36182643807187265;42.90183171102421;42.90183171102421, 0.36182643807187265
BORLY;BORLY;Poste de transformation;EN EXPLOITATION;63kV;6.2803663897867255;46.18011595286313;46.18011595286313, 6.2803663897867255
BOSCH;BOSCHERVILLE;Poste de transformation;EN EXPLOITATION;225kV;0.8826814673977059;49.28145753384463;49.28145753384463, 0.8826814673977059
BOUBL;BOUBLE (LA);Poste de transformation;EN EXPLOITATION;63kV;2.826277816485031;46.14279346685179;46.14279346685179, 2.826277816485031
BOUL5;BOULETERNERE;Poste de transformation;EN EXPLOITATION;63kV;2.589814492996132;42.65413807457678;42.65413807457678, 2.589814492996132
BOULB;BOULBONNE;Poste de transformation;EN EXPLOITATION;63kV;1.5516092451753136;43.294650341105715;43.294650341105715, 1.5516092451753136
BOUSC;BOUSCAT;Poste de transformation;EN EXPLOITATION;225kV;-0.6129307516874831;44.86916015621919;44.86916015621919, -0.6129307516874831
BOUVA;BOUVANTE;Poste de transformation;EN EXPLOITATION;63kV;5.262416207337566;44.98183197329641;44.98183197329641, 5.262416207337566
BOUVE;BOUVESSE;Poste de transformation;EN EXPLOITATION;63kV;5.418802571204723;45.80388951386268;45.80388951386268, 5.418802571204723
BRACH;BRACHAY;Poste de transformation;EN EXPLOITATION;63kV;5.772030458666283;45.847410379155825;45.847410379155825, 5.772030458666283
BRAEK;BRAEK;Poste de transformation;EN EXPLOITATION;225kV;2.2944329461179365;51.0373382940812;51.0373382940812, 2.2944329461179365
BRANT;BRANTOME;Poste de transformation;EN EXPLOITATION;63kV;0.6299754190967449;45.38669522089685;45.38669522089685, 0.6299754190967449
BREI5;BREIL;Poste de transformation;EN EXPLOITATION;90kV;0.15026045964253534;47.47440408183821;47.47440408183821, 0.15026045964253534
BREJO;BREJOU (LE);Poste de transformation;EN EXPLOITATION;90kV;1.2890828448475788;45.75523745392429;45.75523745392429, 1.2890828448475788
BRESS;BRESSUIRE;Poste de transformation;EN EXPLOITATION;90kV;-0.468702289226504;46.83377278383181;46.83377278383181, -0.468702289226504
BREVI;BREVIERES (LES);Poste de transformation;EN EXPLOITATION;225kV;6.924334148891854;45.50418785319819;45.50418785319819, 6.924334148891854
BRIAR;BRIARE;Poste de transformation;EN EXPLOITATION;90kV;2.7619733697925906;47.63521240923456;47.63521240923456, 2.7619733697925906
BRUCH;BRUCH;Poste de transformation;EN EXPLOITATION;63kV;0.4151301638065159;44.20590467549371;44.20590467549371, 0.4151301638065159
BRUFF;BRUFFIERE;Poste de transformation;EN EXPLOITATION;90kV;-1.1549452484738827;47.00234464695497;47.00234464695497, -1.1549452484738827
BRUGA;BRUGALE;Poste de transformation;EN EXPLOITATION;63kV;1.9175320797719222;44.941307403878035;44.941307403878035, 1.9175320797719222
BRUZ;BRUZ;Poste de transformation;EN EXPLOITATION;90kV;-1.7736017231825782;48.00995299096237;48.00995299096237, -1.7736017231825782
BUGEL;BUGELLERIE;Poste de transformation;EN EXPLOITATION;90kV;0.3440304515220539;46.60830540770936;46.60830540770936, 0.3440304515220539
BUIS;BUIS (LES);Poste de transformation;EN EXPLOITATION;90kV;2.2375412541714543;46.98764019867569;46.98764019867569, 2.2375412541714543
BUSSA;BUSSAC;Poste de transformation;EN EXPLOITATION;90kV;-0.3661220674845531;45.22749946364968;45.22749946364968, -0.3661220674845531
BUSSI;BUSSIERES;Poste de transformation;EN EXPLOITATION;63kV;4.273617803023624;45.83309093707762;45.83309093707762, 4.273617803023624
BUZEN;BUZENVAL;Poste de transformation;EN EXPLOITATION;63kV;2.198870936609515;48.850949269556764;48.850949269556764, 2.198870936609515
BVIL7;BELLEVILLE (BELLEVILLE-SUR-LOIRE);Poste de transformation;EN EXPLOITATION;400kV;2.8748781454451073;47.51068321973588;47.51068321973588, 2.8748781454451073
BVILL;BELLEVILLE (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;4.7302550540205175;46.12029400486878;46.12029400486878, 4.7302550540205175
BVUE5;BELLEVUE (CLIENT);Poste de transformation;EN EXPLOITATION;90kV;2.2031804546980407;48.5035903983975;48.5035903983975, 2.2031804546980407
BXBOU;BEAUBOURG;Poste de transformation;EN EXPLOITATION;225kV;2.3574790554421328;48.86098771758202;48.86098771758202, 2.3574790554421328
BXCOU;BEAUCOUZE;Poste de transformation;EN EXPLOITATION;225kV;-0.6324398248962876;47.462387379289;47.462387379289, -0.6324398248962876
BXFOR;BEAUFORT;Poste de transformation;EN EXPLOITATION;45kV;6.5691950937806585;45.73085690130895;45.73085690130895, 6.5691950937806585
BXGEN;BEAUGENCY;Poste de transformation;EN EXPLOITATION;90kV;1.612087186857172;47.78521531855449;47.78521531855449, 1.612087186857172
BXMON;BEAUMONT (BEAUMONT-DE-PERTUIS);Poste de transformation;EN EXPLOITATION;225kV;5.753024913853055;43.73485765850392;43.73485765850392, 5.753024913853055
BXVAI;BEAUVAIS;Poste de transformation;EN EXPLOITATION;63kV;2.067545399196373;49.42905799152509;49.42905799152509, 2.067545399196373
BZBEL;BOURBEL;Poste de transformation;EN EXPLOITATION;90kV;1.6777950563201407;49.90556826540401;49.90556826540401, 1.6777950563201407
BZRAY;BOURRAY;Poste de transformation;EN EXPLOITATION;90kV;0.36852616665461896;48.03391859550094;48.03391859550094, 0.36852616665461896
C.AYG;CHAMP-DE-L AYGUES;Poste de transformation;EN EXPLOITATION;63kV;4.763750121454498;44.626160877326825;44.626160877326825, 4.763750121454498
C.BAP;CROIX-BAPTISTE (LA);Poste de transformation;EN EXPLOITATION;63kV;2.1486642298537224;49.13134182167857;49.13134182167857, 2.1486642298537224
C.CAN;COLMAR-CANAL;Poste de transformation;EN EXPLOITATION;63kV;7.372420383884453;48.082177995669184;48.082177995669184, 7.372420383884453
C.CHI;CHATEAU-CHINON;Poste de transformation;EN EXPLOITATION;63kV;3.9385057754760333;47.05765498714591;47.05765498714591, 3.9385057754760333
C.FEU;CHAMBON-FEUGEROLLES;Poste de transformation;EN EXPLOITATION;63kV;4.316053782112391;45.393524207405065;45.393524207405065, 4.316053782112391
C.FO5;COLOMBIER-FONTAINE;Poste de transformation;EN EXPLOITATION;63kV;6.684564192553424;47.45392476712755;47.45392476712755, 6.684564192553424
C.FRA;CIMENTS-FRANCAIS;Poste de transformation;EN EXPLOITATION;63kV;4.618952665419057;43.80424674277485;43.80424674277485, 4.618952665419057
C.LO5;CHATEAU-DU-LOIR;Poste de transformation;EN EXPLOITATION;90kV;0.40935752428394206;47.70074353579527;47.70074353579527, 0.40935752428394206
C.LOI;CHATEAUNEUF-SUR-LOIRE;Poste de transformation;EN EXPLOITATION;90kV;2.197259973286725;47.8592785588132;47.8592785588132, 2.197259973286725
C.LUC;CIER-DE-LUCHON;Poste de transformation;EN EXPLOITATION;63kV;0.6024383354805112;42.85359515017662;42.85359515017662, 0.6024383354805112
C.QUE;CHATEAU-QUEYRAS;Poste de transformation;EN EXPLOITATION;63kV;6.808676605259218;44.759884930719394;44.759884930719394, 6.808676605259218
C.ROU;CROIX-ROUSSE;Poste de transformation;EN EXPLOITATION;225kV;4.83011405173763;45.77591658005495;45.77591658005495, 4.83011405173763
C.ROY;CHATENOY-LE-ROYAL;Poste de transformation;EN EXPLOITATION;63kV;4.792997234837156;46.78200472860638;46.78200472860638, 4.792997234837156
CAEN;CAEN;Poste de transformation;EN EXPLOITATION;225kV;-0.3457132555332506;49.18129740250852;49.18129740250852, -0.3457132555332506
CAIL5;CAILLOLS;Poste de transformation;EN EXPLOITATION;225kV;5.459794707452173;43.293460380935656;43.293460380935656, 5.459794707452173
CALCE;CALCE;Poste de transformation;EN EXPLOITATION;63kV;2.7742570112296234;42.732162659093774;42.732162659093774, 2.7742570112296234
CANAL;CANAL;Poste de transformation;EN EXPLOITATION;90kV;0.22788980216097934;49.49396313396449;49.49396313396449, 0.22788980216097934
CAPEY;CAPEY;Poste de transformation;EN EXPLOITATION;63kV;3.0000716608008133;49.406644313324;49.406644313324, 3.0000716608008133
CARME;CARMES (LES);Poste de transformation;EN EXPLOITATION;90kV;1.9350395100324633;47.86695868182161;47.86695868182161, 1.9350395100324633
CARPO;CARPONT;Poste de transformation;EN EXPLOITATION;63kV;-2.7743287970643062;48.50200941373139;48.50200941373139, -2.7743287970643062
CASSA;CASSAGNE (LA);Poste de transformation;EN EXPLOITATION;63kV;2.1483847594207797;42.50436615382355;42.50436615382355, 2.1483847594207797
CATTE;CATTENOM;Poste de transformation;EN EXPLOITATION;400kV;6.215925092643262;49.41710356765368;49.41710356765368, 6.215925092643262
CAULA;CAULAINCOURT;Poste de transformation;EN EXPLOITATION;225kV;2.333576003528749;48.89119733170563;48.89119733170563, 2.333576003528749
CAUM5;CAUMONT (PIPE-LINE SUD-EUROPEEN NO 1A);Poste de transformation;EN EXPLOITATION;63kV;4.92189872268402;43.896187833062314;43.896187833062314, 4.92189872268402
CAZAU;CAZAUX (ENEDIS);Poste de transformation;EN EXPLOITATION;63kV;-1.16052071585153;44.54003467706959;44.54003467706959, -1.16052071585153
CERCE;CERCEAU;Poste de transformation;EN EXPLOITATION;63kV;4.483538269107704;49.41935238692699;49.41935238692699, 4.483538269107704
CERON;CERONS;Poste de transformation;EN EXPLOITATION;63kV;-0.34734532274917296;44.64090245211326;44.64090245211326, -0.34734532274917296
CEZY;CEZY;Poste de transformation;EN EXPLOITATION;63kV;3.3396860400417108;47.98361120703853;47.98361120703853, 3.3396860400417108
CHA.N;CHALON-NORD;Poste de transformation;EN EXPLOITATION;63kV;4.856617710685808;46.80655406538603;46.80655406538603, 4.856617710685808
CHALL;CHALLANS;Poste de transformation;EN EXPLOITATION;90kV;-1.859894595514339;46.84920187872256;46.84920187872256, -1.859894595514339
CHAN7;CHANGY;Poste de transformation;EN EXPLOITATION;63kV;3.895420065388376;46.14433666639108;46.14433666639108, 3.895420065388376
CHAND;CHANDIEU;Poste de transformation;EN EXPLOITATION;63kV;4.969573431031454;45.67682449153086;45.67682449153086, 4.969573431031454
CHANG;CHANGE;Poste de transformation;EN EXPLOITATION;90kV;-0.7493205186083062;48.09607994338109;48.09607994338109, -0.7493205186083062
CHANO;CHANOZ;Poste de transformation;EN EXPLOITATION;63kV;4.869274806640987;45.81517057581436;45.81517057581436, 4.869274806640987
CHARN;CHARNY;Poste de transformation;EN EXPLOITATION;63kV;3.1065446223765805;47.88676928686965;47.88676928686965, 3.1065446223765805
CHARV;CHARVIEU;Poste de transformation;EN EXPLOITATION;63kV;5.16731988658237;45.747482182974885;45.747482182974885, 5.16731988658237
CHAS5;CHASSE (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;4.791909135259816;45.5932344330879;45.5932344330879, 4.791909135259816
CHAT7;CHATILLON (-SUR INDRE);Poste de transformation;EN EXPLOITATION;90kV;1.1756866401073445;46.99817754083163;46.99817754083163, 1.1756866401073445
CHATI;CHATILLON (CLAMART);Poste de transformation;EN EXPLOITATION;225kV;2.2656875437319473;48.7890623593896;48.7890623593896, 2.2656875437319473
CHAV5;CHAVAGNES;Poste de transformation;EN EXPLOITATION;90kV;-1.2617841769293754;46.869627639855594;46.869627639855594, -1.2617841769293754
CHAV6;CHAVANOD;Poste de transformation;EN EXPLOITATION;225kV;6.081191595248049;45.8943774354055;45.8943774354055, 6.081191595248049
CHECY;CHECY;Poste de transformation;EN EXPLOITATION;90kV;2.043775570370633;47.91614841040365;47.91614841040365, 2.043775570370633
CHENE;CHENET;Poste de transformation;EN EXPLOITATION;225kV;2.4698991721953423;48.566726696402014;48.566726696402014, 2.4698991721953423
